Rk,Season,Lg,GP,G,PP,PPO,PP%,PK%,SA,SV,SV%,GAA
24,1999-00,NHL,1148,2.75,0.65,4.03,16.15,83.85,27.9,25.2,.904,2.64
25,1998-99,NHL,1107,2.63,0.69,4.38,15.81,84.19,27.8,25.2,.908,2.56
26,1997-98,NHL,1066,2.64,0.70,4.64,15.08,84.92,27.3,24.7,.906,2.53
27,1996-97,NHL,1066,2.92,0.67,4.10,16.27,83.73,29.7,26.9,.905,2.80
28,1995-96,NHL,1066,3.14,0.90,5.04,17.93,82.07,30.2,27.1,.898,3.04
29,1994-95,NHL,624,2.99,0.77,4.36,17.73,82.27,29.3,26.4,.901,2.89
30,1993-94,NHL,1092,3.24,0.90,4.85,18.64,81.36,30.2,27.1,.895,3.14
31,1992-93,NHL,1008,3.63,1.03,5.28,19.57,80.43,30.9,27.4,.885,3.53
32,1991-92,NHL,880,3.48,0.97,5.02,19.24,80.76,30.4,27.0,.888,3.37
33,1990-91,NHL,840,3.46,0.89,4.57,19.44,80.56,29.7,26.4,.886,3.35
34,1989-90,NHL,840,3.68,0.95,4.58,20.77,79.23,30.2,26.6,.881,3.56
35,1988-89,NHL,840,3.74,1.06,5.04,20.99,79.01,30.3,26.6,.879,3.63
36,1987-88,NHL,840,3.71,1.11,5.46,20.29,79.71,30.4,26.8,.880,3.62
37,1986-87,NHL,840,3.67,0.90,4.30,20.99,79.01,29.9,26.3,.880,3.56
38,1985-86,NHL,840,3.97,1.02,4.62,22.10,77.90,31.0,27.1,.874,3.87
39,1984-85,NHL,840,3.89,0.89,4.01,22.20,77.80,30.5,26.7,.875,3.79
40,1983-84,NHL,840,3.94,0.92,4.20,21.98,78.02,30.5,26.7,.873,3.84
41,1982-83,NHL,840,3.86,0.89,3.87,22.94,77.06,30.5,26.7,.875,3.80
42,1981-82,NHL,840,4.01,0.92,4.00,22.89,77.11,31.1,27.1,.873,3.95
43,1980-81,NHL,840,3.84,0.96,4.25,22.54,77.46,30.4,26.7,.876,3.78
44,1979-80,NHL,840,3.51,0.76,3.50,21.83,78.17,29.3,25.9,.882,3.46
